temp,windspeed,feel_temp,clothe,result
10,0,19.3,5,
22,3,23.6,1,
21,18,21.3,3,
28,15,30.1,2,
-18,19,-27.7,3,
18,18,17.6,4,
5,2,5.7,1,
3,14,-0.5,4,
-18,7,-23.3,3,
-12,12,-18.3,5,
23,12,24.1,5,
36,3,39,2,
27,15,28.9,3,
-14,7,-18.7,3,
19,4,20.1,1,
-18,3,-20.1,1,
23,12,24.1,4,
-3,19,-8.9,2,
-1,2,-0.6,5,
26,8,27.8,1,
22,4,23.5,5,
-19,5,-23.1,2,
29,12,31.3,5,
3,8,0.8,4,
8,15,5.4,1,
36,5,39.3,4,
12,7,11.6,5,
36,4,39.1,3,
3,2,3.6,3,
-15,19,-23.9,5,
15,19,13.8,1,
14,20,12.4,5,
1,9,-1.9,1,
18,1,20.1,2,
20,0,25.6,1,
-13,3,-14.7,2,
3,4,2.3,4,
29,4,31.3,3,
8,6,7.2,1,
31,5,33.6,3,
29,12,31.3,3,
20,13,20.4,5,
5,11,2.4,5,
-14,6,-18.1,5,
-11,5,-14.1,4,
0,12,-3.8,1,
36,18,40.1,5,
27,4,29.1,5,
18,1,20.1,4,
-14,18,-22.5,5,
25,0,28.7,3,
-19,19,-29,3,
-16,18,-25,4,
-17,13,-24.7,1,
-15,12,-22,5,
13,16,11.5,5,
39,2,41.9,3,
0,18,-4.9,1,
12,13,10.6,2,
39,4,42.5,4,
35,13,38.7,2,
-7,10,-11.7,3,
0,10,-3.3,1,
28,2,30.2,3,
32,1,34.3,5,
19,2,20.6,2,
-3,20,-9,5,
12,9,11.2,5,
0,7,-2.4,3,
31,15,33.8,2,
27,2,29.2,4,
40,12,44.7,1,
-10,15,-16.7,3,
31,17,33.8,3,
-1,13,-5.2,5,
24,4,25.7,5,
26,10,27.7,3,
-19,9,-25.6,5,
-4,10,-8.1,4,
-3,10,-6.9,1,
35,6,38.2,5,
-19,7,-24.5,4,
-16,6,-20.4,3,
36,17,40.1,5,
3,8,0.8,2,
-7,16,-13.3,2,
-17,14,-25.1,5,
26,6,27.9,1,
33,16,36.3,1,
10,3,10.5,2,
39,19,43.9,5,
16,1,18,4,
19,9,19.5,3,
25,8,26.6,3,
5,1,6.8,2,
-4,16,-9.6,3,
-11,17,-18.5,2,
15,7,15,3,
0,15,-4.4,1,
7,1,8.9,3,
22,4,23.5,5,
28,0,30.5,1,
-16,7,-21,4,
37,4,40.2,3,
-16,7,-21,1,
18,10,18.2,4,
3,19,-1.3,2,
5,3,5,4,
-20,5,-24.3,5,
4,10,1.5,1,
31,13,33.8,2,
6,10,3.9,3,
-8,11,-13.2,2,
39,11,43.4,3,
29,17,31.3,5,
-13,17,-21,5,
-7,0,8.8,3,
24,10,25.4,4,
16,11,15.7,2,
-3,4,-4.4,3,
8,12,5.9,4,
33,8,36,1,
12,0,20.6,1,
-5,1,-3.3,1,
1,7,-1.2,1,
-15,4,-17.8,2,
-4,0,10.6,1,
18,5,18.8,5,
3,12,-0.2,3,
-9,2,-9.2,3,
22,5,23.4,3,
37,10,40.9,3,
37,6,40.5,5,
-18,10,-24.8,2,
36,1,38.4,2,
19,17,18.9,4,
25,9,26.6,2,
36,19,40.1,1,
5,13,2.1,5,
-2,9,-5.4,5,
-2,18,-7.4,2,
-12,17,-19.7,2,
-7,3,-8.1,4,
-1,15,-5.6,1,
-7,12,-12.3,5,
17,5,17.7,3,
26,18,27.6,5,
0,12,-3.8,5,
-4,6,-6.6,5,
24,11,25.3,2,
26,18,27.6,3,
1,0,13.7,1,
-16,17,-24.7,2,
-7,0,8.8,1,
22,7,23.2,4,
24,19,25.1,3,
6,16,2.8,3,
34,6,37.1,3,
38,2,40.9,1,
-15,6,-19.3,1,
25,12,26.5,4,
-19,12,-26.8,5,
14,8,13.7,5,
-10,11,-15.6,1,
31,18,33.8,3,
-2,2,-1.7,1,
-3,13,-7.7,1,
1,16,-3.4,3,
11,17,8.9,3,
-10,15,-16.7,5,
19,17,18.9,2,
15,0,22.4,5,
40,14,44.8,4,
-18,18,-27.5,5,
2,12,-1.4,5,
1,9,-1.9,3,
15,17,13.9,3,
18,10,18.2,2,
13,12,11.9,1,
15,12,14.4,4,
-1,7,-3.6,2,
8,0,18.1,5,
20,17,20.1,3,
26,8,27.8,3,
-19,20,-29.2,3,
12,16,10.3,1,
-5,10,-9.3,3,
28,0,30.5,3,
37,17,41.3,1,
22,5,23.4,1,
14,5,14.3,1,
36,14,39.9,4,
21,18,21.3,1,
12,5,12,2,
7,14,4.4,4,
-10,18,-17.4,5,
7,3,7.2,2,
26,10,27.7,4,
27,7,29,4,
11,1,12.9,4,
6,15,3,3,
-20,4,-23.4,2,
30,2,32.4,2,
5,17,1.5,5,
23,5,24.5,2,
-20,10,-27.2,2,
37,0,36.1,5,
-2,16,-7.1,4,
36,6,39.4,4,
2,11,-1.2,3,
3,15,-0.7,4,
16,9,15.9,1,
-12,18,-19.9,1,
28,8,30.1,1,
-14,4,-16.7,1,
30,18,32.6,5,
7,9,5.3,1,
22,15,22.7,4,
34,2,36.6,3,
38,6,41.7,4,
11,13,9.4,5,
11,16,9,2,
-10,17,-17.2,4,
-7,4,-8.9,3,
14,2,15.3,5,
31,17,33.8,5,
32,3,34.6,4,
31,0,32.4,2,
10,17,7.7,4,
-8,17,-14.7,2,
5,16,1.6,5,
15,2,16.4,5,
21,20,21.3,1,
33,4,35.8,5,
-16,14,-23.8,4,
-9,1,-7.4,5,
28,9,30.1,2,
4,15,0.5,5,
36,14,39.9,2,
-14,8,-19.2,2,
39,4,42.5,3,
-17,12,-24.4,2,
10,9,8.8,1,
-19,14,-27.5,4,
3,18,-1.2,5,
19,9,19.5,4,
21,18,21.3,4,
-17,10,-23.6,4,
23,5,24.5,1,
2,3,1.8,5,
-16,15,-24.1,3,
36,11,39.8,2,
38,5,41.5,1,
-19,4,-22.3,5,
34,6,37.1,2,
-11,16,-18.2,4,
22,9,23,2,
-1,7,-3.6,3,
3,16,-0.9,2,
-2,20,-7.8,2,
36,13,39.9,1,
-12,1,-10.5,1,
4,20,-0.2,5,
36,8,39.5,1,
6,12,3.5,4,
40,5,43.8,1,
5,4,4.5,3,
40,6,44,5,
20,17,20.1,2,
19,2,20.6,5,
5,19,1.2,3,
0,2,0.4,5,
7,15,4.2,3,
29,6,31.3,5,
-20,0,0.7,3,
3,4,2.3,2,
22,15,22.7,3,
28,12,30.1,1,
37,16,41.3,4,
-9,5,-11.8,4,
-8,4,-10,3,
26,9,27.8,1,
1,20,-4,5,
-15,10,-21.2,1,
39,13,43.5,1,
3,4,2.3,2,
3,5,1.8,2,
30,18,32.6,1,
32,7,34.8,2,
-2,3,-2.6,5,
5,13,2.1,1,
28,2,30.2,1,
40,20,45.2,5,
38,12,42.2,3,
21,16,21.4,5,
-10,13,-16.2,4,
10,17,7.7,5,
-11,8,-15.7,3,
37,19,41.4,3,
5,19,1.2,1,